style,grp,baseGzip,optGzip,reduction,deltaLoad,deltaFps,isBold,midruleBefore
americana,style_only,31510,31510,0.0,-74.5,125.2,0,0
ICGC fosc,style_only,10298,10299,-0.0,-63.4,44.7,0,0
ICGC gris,style_only,14352,14351,0.0,0.3,8.9,0,0
bright,full_pipeline,4230,3979,5.9,-71.3,159.3,0,1
positron,full_pipeline,2731,2455,10.1,-70.5,160.3,0,0
dark-matter,full_pipeline,2653,2092,21.1,-68.6,141.7,0,0
osm-bright,full_pipeline,4747,3896,17.9,-73.7,160.3,0,0
klokan-basic,full_pipeline,2443,2080,14.9,-63.1,124.1,0,0
toner,full_pipeline,2434,1939,20.3,-64.5,99.6,0,0
osm-liberty,full_pipeline,3665,3241,11.6,-72.0,200.3,0,0
stadia-outdoors,full_pipeline,4443,3817,14.1,-72.0,153.4,0,0
fiord,full_pipeline,2550,2118,16.9,-67.5,148.1,0,0
liberty,full_pipeline,3878,3600,7.2,-71.3,149.9,0,0
Mean,mean,6918,6567,10.8,-64.0,128.9,1,1
